Name,Definition,Number
Seven of Cups (Upright),"-------------------------------------------------
SEVEN OF CUPS (Upright)

To draw the Seven of Cups in a reading shows that you need to clearly see the shadows and visions in your imagination, not only in your dreams but also in the real world. You should be careful of wishful thinking and be alert of the choices that you make. In one sense, the Seven of Cups indicates that you are a dreamer who is both excited and afraid of the things that you see in your unconscious. In another, the Seven of Cups is a reminder that although it is good to have dreams and wishes, it is even better to take action attaining those dreams. At one point in life, you will need to stop fantasizing and face the reality of life.

If you are unable to make a decision due to the many options that are available, you should evaluate the advantages and disadvantages of each option so as to make the best choice. It is important to exercise caution when you are making your decision, as the card itself seems to show there is not only wonders and treasures that are available to you, but also monsters and shadows.

There are some cases when the Seven of Cups may show that you are living in ways that are not necessarily grounded in real life - that your actions are guided by illusions that you feed yourself. Your ideas may be so up in the clouds, developed only on your imagination. As such, you will need to separate what is real and what is not so that you can make better choices.

The Seven of Cups is also linked with temptation. This applies in the upright meaning and also the Seven of Cups reversal meaning.
-------------------------------------------------",12
Seven of Cups (Reversed),"-------------------------------------------------
SEVEN OF CUPS (Reversed)

The Seven of Cups reversal is somewhat similar to the upright, as they both indicate dreams, illusions and temptations, but seem to emphasize the more negative qualities of this card. Your views may be inclined towards fantasy, and not grounded in reality. It may imply that you are unclear about the things that you are searching for.

The Seven of Cups reversed may also demonstrates your unwillingness to face the realities of life, and you are seeking to escape through imagination and daydreaming.

On the other hand, the Seven of Cups reversed may also indicate an end of confusion, of cutting out illusions, and moving forward with clarity.
-------------------------------------------------",13
Eight of Cups (Upright),"-------------------------------------------------
EIGHT OF CUPS (Upright)

The Eight of Cups signifies time for change or transition, by means of walking away from something. Just like a caterpillar has to die before transforming into a beautiful butterfly, we all need to transform ourselves in our lives from time to time. This is the case especially after being tired of living what was the day to day, and embarking on a journey that will help one have a deeper understanding about life in general.

Getting the upright side of this card shows that you are dissatisfied with your life and need to experience a higher purpose in life. You may have been exploring your options, flitting about from one choice to another, tasting the wine in each cup, as a means to sort out what it is that you really want with your life. You are now experiencing a feeling of exhaustion - and are coming to a realization that you must step away from what is familiar. It is a choice, and a recognition that true happiness will not be found in what you have already created. 

More often than not, getting the Eight of Cups shows that one is tired of the worldly things and is about to embark on a much more spiritual journey. And if that’s the case, then be happy, because change happens when we most need it.
-------------------------------------------------",14
Eight of Cups (Reversed),"
-------------------------------------------------
EIGHT OF CUPS (Reversed)

Getting the reversed Eight of Cups can show that one is in a state of confusion about which path they are supposed to take. The confusion usually arises from not knowing what is best for you and in the end, drifting in a sea of uncertainty is going to be the resulting effect. 

One is likely to find themselves being aimless and not having clear cut goals in their lives. And in the end, they almost always end up following wherever the waves of life take them.

On the other hand, you may be aware of what you need to do. There is something that in your life that has for a long time stopped bringing you joy or pleasure, and though your soul's desire is to fly away from it, you find yourself remaining. The thought of leaving the security of what you have built fills you with fear - you are scared of both change and of losing something that has given you great comfort. 

Most people usually find themselves stuck in limbo because they are stuck between two important decisions. For instance, one might want to change and work on themselves for the better, and at the same time, they may not in a position to make the necessary sacrifices that are necessary in order to achieve. We must have courage, to believe that we deserve better, that there are even more joyous things that are awaiting us if we take this journey.
-------------------------------------------------",15
Nine of Cups (Upright),"-------------------------------------------------
NINE OF CUPS (Upright)

After a long journey, the Nine of Cups symbolizes the finding of self-satisfaction. The emotional journey of the cups is starting to come to a close after the volatile ups and downs you faced in the earlier numbers of this suit. You have struggled to find purpose and joy after loss, you have tasted the different things that life offers, and you have left comfort in order to find greater heights. Here, you have found them, and you are indulging yourself as you celebrate this new stage of your life.

When we look at the Nine of Cups, it can initially seem like one of the most pleasant cards that may appear during a reading. This is also referred as the wish card, which means that the things that you desire for, or your most perfect dream is bound to happen. The Nine of Cups is normally associated with extreme happiness and satisfaction. 

With regards to your work, there is a good change that something wonderful will happen in your workplace. It is time for you to push on your stalled project or if you have a something that you desire greatly, there is a possibility that you will finally achieve it. It also holds a positive meaning when it comes to love. Your romantic relationship with someone is destined to reach a new level. In case you are still single, this is the time to socialize with new people.

In terms of finances, the Nine of Cups is also a positive messenger. It can mean that the financial state that you are hoping for will soon be achieved. In your health, the test that you have to undergo will lead to positive result. The good energy that you are receiving at the moment should be used to improve your health habits.
-------------------------------------------------",16
Nine of Cups (Reversed),"-------------------------------------------------
NINE OF CUPS (Reversed)

When the Nine of Cups is reversed, you need to think more carefully about the things that you really want in your life. The Nine of Cups reversed can signify that you are looking for a more authentic feeling of fulfillment.

Your path has been a hard one, and you've arrived at a period where you may have the appearance of fulfillment, but something else is missing. This may outwardly appear as smugness, and can indicate your desire to receive attention and recognition for all that you have achieved. But you personally still feel dissatisfaction in yourself - it seems as though your desires are never-ending, a black hole. Where does this stem from? In what parts of yourself are you lacking confidence?

The Nine of Cups reversal denotes that it is time for you to stop placing a value on all your blessings, and instead pay attention to the quality of your life. The true treasures lie in your relationships with your family, friends, and community.
-------------------------------------------------",17
Ten of Cups (Upright),"-------------------------------------------------
TEN OF CUPS (Upright)

From its joyful depiction, we can assume that the Ten of Cups embody happiness, joy, contentment and emotional satisfaction in your family, relationship or companion. It represents an idyllic state of comfort, harmony, peace and love which makes you feel like you are in paradise. This is where all your dreams, wants, needs and wishes have been fulfilled, and you feel a complete sense of satisfaction. Take a moment and breathe, look around you and be thankful for all your blessings. This card signifies something that so many of us are searching for.

To see the Ten of cups is to indicate a true emotional fulfillment - one where the lonely self-satisfaction of the Nine of Cups is shared with others to create a true sense of community and family. It is the crystallization of the innocent will of the ace of cups. After learning how to love oneself, the Nine of Cups matured into the Ten of Cups, which at its core about how true happiness stems from forging authentic bonds and connections with others. This card is most associated with a sense of 'happily ever after' - of family, of lasting harmony and peace.

This is an indication of harmonious family, for the card shows you that you are living in the perfect peace. No more adjustments or shifting is needed, you are in the right, just relax and enjoy your moment. In a love reading, this card shows that it is romantic, real and genuine - and has a strong potential for something long term. It deserves all your effort to make it come true.

The Ten of Cups could also indicate a family holiday where you can relax and spend time with family members.
-------------------------------------------------",18
Ten of Cups (Reversed),"-------------------------------------------------
TEN OF CUPS (Reversed)

When the Ten of Cups is reversed, the strong bonds that one forges with family and community are broken, or twisted. The Ten of Cups is truly the most 'happily ever after' card, but somehow this idealized image of domestic peace and comfort is broken, or was unrealistic all along. Instead of connections, you may find distance. Instead of coming together, you may be pulling apart.

Your hopes for happy times and special moments seem to not meet your expectations. You should learn to treat each other well, love each other and care for each other. This is the best way to ensure that you retain your harmonious living.
-------------------------------------------------",19
Page of Cups (Upright),"-------------------------------------------------
PAGE OF CUPS (Upright)

One of the most important meanings within the Page of Cups is that you should be open to new ideas, especially ones that stem from intuitive inspiration. The card seems to state that such inspiration should be embraced, despite it being something that you may not expect. It could lead you to adventure and open many doors. If it is a calling of a creative nature, for example, one to get into music or art, there's an especially strong push from this card to go for it.

When you are being faced by difficult situations, and you have stopped chasing your dreams, the Page of Cups seems to say that you that you should tackle the issue from a totally different perspective. It symbolizes persistence as this is the only way that you can make your dreams come true. Listen to your intuition, follow your calling, and believe everything is possible.

For those that are afraid to reveal their emotions, the Page of Cups could mean that it is time to release and show those emotions. The creative you and the emotional you should both be expressed, no matter how insignificant they may seem. In most cases, some people cannot express themselves as they want to protect their ego. The Page of Cups indicates that it is alright to have a new beginning - to welcome the real you.
-------------------------------------------------",20
Page of Cups (Reversed),"-------------------------------------------------
PAGE OF CUPS (Reversed)

One Page of Cups reversal meaning is that you are undergoing a block in your creativity. There are things or projects that you find interesting, but you seem to do them for other reasons than for the joy of it. You may be doing them for money, for fame, or something else. A reversed Page of Cups could indicate that you should remember the joy that your projects brought you in the first place to reclaim your imaginative spirit.

Another Page of Cups reversal meaning is that it can symbolize a troubled person. One who is afraid of reality whether it’s emotional, financial, illness or something else. They find these issues difficult to face, perhaps leading to abuse of alcohol or drugs to escape. It could be an image of you or a loved one who is struggling with self-acceptance.

The Page of Cups could indicate that someone lacks inspiration, they are battling low self-worth, and they are easily depressed. What can you do to help inspire them to be their best self?
-------------------------------------------------",21
Knight of Cups (Upright),"-------------------------------------------------
KNIGHT OF CUPS (Upright)

The truth is that the Knight of Cups is the most feminine amongst all the Knight cards in the tarot. It's important to note though, that this doesn’t even slightly suggest that he is any less of a worthy knight. It implies that he is in proper touch with his emotions and his intuition, and that he uses them for his own well-being and during his many romance and seduction quests. He is usually quite attractive and charming to others, regardless of their gender.

When faced with an actual decision, the Knight of Cups is going to listen to his heart, regardless of whether this is actually a logical choice or not. He can also manifest as an event or a person in your life, or a part of your own self. He appears as a messenger – and with him, he carries an invitation or an arrival of something or someone which is going to have a certain emotional benefit for you. As a knight, he is also charged with taking the gifts of his suit, and bringing it outward into the world. He therefore can also represent the undertaking of some project with significant emotional or creative value for you.
-------------------------------------------------",22
Knight of Cups (Reversed),"
-------------------------------------------------
KNIGHT OF CUPS (Reversed)

Now that you are aware of the upright Knight of Cups meaning let’s take a look at what the card says when it is upside down. Reversed, the Knight of Cups means that you allow your emotions to control your life a lot more than you should. You might be overly jealous, emotional or moody. In fact, this could get up to the point of actual incapacity to take action, which is most definitely to be avoided. Jumping to conclusions too fast is characteristic of a reversed Knight of Cups, and making judgements without having the necessary information is very common.

The card indicates a situation which could be considered appealing at first but quickly turns out to be something very different. With such high expectations, everyone will walk away quite disappointed.
-------------------------------------------------",23
Queen of Cups (Upright),"-------------------------------------------------
QUEEN OF CUPS (Upright)

We can understand the meaning of the Queen of Cups from taking a closer look at the woman in image. She is seen as compassionate, caring, sensitive, and nurturing. She connects with people on the emotional level, so people enjoy her honesty and fairness. The appearance of the Queen of Cups in a reading can be guiding you to find help from others. Most times, like the other queens, this is a female figure that will come into your life.

The Queen of Cups has an intuition which is very powerful, and is only rivaled by the one of the High Priestess. The Queen of Cups acts as a mirror and reflects the depths present in others, so they see themselves in a new light. Most times, the Queen of Cups can also represent the trusted inner voice you have within you. She seems to say that you should take the time to focus on your emotional health before trying to help others. Self-love creates compassion. 

The Queen of Cups can also reflect your relationships with other people. You may be the emotionally strong rock that serves as an anchor for someone else. You may be here to help teach and support others using your intuition, instead of logic.

The Queen of Cups normally thinks with her heart, instead of her mind. She can lack rationality and common sense, but she can also be intuitive, dreamy and almost psychic at times. The Queen of Cups could be the answer to your problems when a logical approach is not working.
-------------------------------------------------",24
Queen of Cups (Reversed),"
-------------------------------------------------
QUEEN OF CUPS (Reversed)

The Queen of Cups reversed means that you are not in sync with your emotions. You can also feel restricted in the expressing the way that you truly feel. Most times, bottling up your emotions can be very damaging and will lead to a boiling point in the near future. You may have high levels of stress that you are not able to cope with anymore.

The Queen of Cups reversed can also reflect that your mind is wandering too far, and you are letting your imagination run away with itself. While you still mean well, you should take a pause to really see whether your emotions can be trusted, because you are allowing them to control you. You need to take some time to think if these dreams can be turned into reality. You should try to be more emotionally stable during these times, so you will know when your emotions are getting the best of you.
-------------------------------------------------",25
King of Cups (Upright),"-------------------------------------------------
KING OF CUPS (Upright)

The King of Cups is one of the most influential cards in the suit of Cups. He represents creativity, emotion, and the unconscious. The card shows the ability to restrain one's emotions and be fully in charge of your feelings and impulses. Therefore, the King of Cups represents a balance between the intellect and emotions. He indicates that there is a strong relationship between understanding and feeling.

When you have balanced your emotions and are able to control them, it means that you have a deeper knowledge and awareness of yourself. When you are faced with challenges that would normally throw you off balance, the King of Cups is there to remind you that you should act as he does - do not fly out in a rage, or immediately throw yourself into despair! You first need to temper the state of your emotions, so that you can progress forward in reality. Learn to evaluate yourself so as to determine how you can create a stronger awareness of your own internal state.

There are instances when the King of Cups can symbolize an older male who is in your life. This is a mature man who is willing to take responsibility for his actions and has mastered his own self-understanding.

The King of Cups tends to be political and diplomatic, and this makes it possible to for him to balance the needs of others, and enhance the harmony among all parties involved. The King of Cups shows that you are sensitive as a leader and you are careful with the way others respond to your emotional needs. The King of Cups implies that you should remain mature when dealing with negative energy.
-------------------------------------------------",26
King of Cups (Reversed),"
-------------------------------------------------
KING OF CUPS (Reversed)

The King of Cups reversed signals what happens when he is at his worst: volatility, emotional manipulation and moodiness.

When the King of Cups falters, his usual ability to handle situations with compassion and wisdom are turned upside down. He is unable to balance the needs of all that seek his guidance, and while appearing kind to some, may be cold to others. His talent in navigating the emotions of others may be put to dubious uses, manipulating circumstances to fit his needs.

The reversed King of Cups suggests that there is a character in your life that is depicted by this card, whether a part of you or someone else. While he is normally very in touch and controlled with his emotions, he has lately become manipulative and emotionally controlling. His actions will be used for vengeance and vindication, impulses that he normally has under control, and is eventually aimed at being some form of punishment. 
-------------------------------------------------",27
