Name,Definition,Number
Six of Pentacles (Upright),"
-------------------------------------------------
SIX OF PENTACLES (Upright)

The Six of Pentacles means is that you are in a position where you have a good relationship with your income. Like the main figure in the card, the amount of money that you bring in and your expenses are balanced well, and you are fortunate enough to not have any stress. You are also grateful for all that you own and can happily share your wealth with others. As you can tell from the imagery in the card, the Six of Pentacles can be about charity. You can either be the man giving away money to the needy, or a beggar gratefully receiving what you need from wealthy donor.

If the card is showing that you are the giver, you have built up wealth, and you are now able to help others with financial assistance. You may have lived long enough in the darkness of the Five of Pentacles to be able to see the light. You are thinking about giving to charities or helping someone who could need your support and was in the same position you were before. The Six of Pentacles does not have to be about material gifts or money, it can also mean your time and presence.

If the card is showing you are one of the beggars, you could be receiving someone else’s charity. This could help you recover, so take the help - you will be able to repay the kindness in the future. You may also be able to find ways of becoming self-sufficient in the future. Despite this situation, you should be mindful that you should not become desperate or submissive during this time.
-------------------------------------------------",10
Six of Pentacles (Reversed),"-------------------------------------------------
SIX OF PENTACLES (Reversed)

The Six of Pentacles reversed can suggest that charity can be one-way. If you have loaned someone money, you should not be expecting your money to be paid back, or your favor to be returned in the future. You should be cautious about the people you are lending money to, especially if you are not financially stable. You could also have problems with spending and giving away more than you can really afford.

The Six of Pentacles reversed can also warn you about the debts that you have. This could mean that you are in over your head and it is going to come back and be a major problem in the future. You should also be careful of entering business endeavors during this time because you could end up with a huge loss, instead of getting a return on your investment.

The last Six of Pentacles reversal meaning is that there is selfishness related to giving and charity. This may mean that you are willing to give others in a way that is not to benefit them, but to benefit yourself. You should be cautious that you are not just being charitable to prove you are giving or generous to others. The source of generosity should be selfless, not selfish.
-------------------------------------------------",11
Seven of Pentacles (Upright),"-------------------------------------------------
SEVEN OF PENTACLES (Upright)

The meaning of the Seven of Pentacles relates to investment and effort. It follows the Six of Pentacles which refers to the end of financial or material hardship. If you have been putting in time and effort in your work, it signifies that your efforts are paying off and they are going to pay off in the future as well.

If you are looking to invest, the Seven of Pentacles suggests that you are ready to put in a lot of effort, time and work into whatever you want to achieve. It reaffirms you of your long-term vision and helps to show that you are not confined to seeing results in the short term only. It shows how much you value the investment because of the effort that you are willing to put in.

The Seven of Pentacles is also related to fear of failure. You do not know whether you are going to reap fruit from your hard work. It could also signify frustration when there is a delay. You may have been putting a lot of effort into your projects, but it does not seem to bear any fruit right now. The good thing is that it means that you are learning from your failures and mistakes. It may initially not seem like it, but mistakes allow you to look into how to better invest your time to get the most out of your future ventures.
-------------------------------------------------",12
Seven of Pentacles (Reversed),"-------------------------------------------------
SEVEN OF PENTACLES (Reversed)

The Seven of Pentacles reversed means that your returns may be scattered for now. It could also mean that the rewards of your labor are not as significant as you thought. The advantage of this is that it shows that you know when to stop investing your time, money or energy in a particular project. You, therefore, need to reevaluate your choices, and figure out where you should put your resources. The Seven of Pentacles reversal meaning could also be applied to relationships and the effort and emotions that you have invested.

The Seven of Pentacles symbolism often deals with business ventures and investments. However, it also cuts across relationships, viewed as investments as well. The effort put into these investments could be time, money and hard work.
-------------------------------------------------",13
Eight of Pentacles (Upright),"-------------------------------------------------
EIGHT OF PENTACLES (Upright)

This card indicates a time that you have to work hard and focus entirely on your tasks. This is not necessarily a negative situation, but this means that you must really strive to be the best. The task that you need to accomplish can be personal or professional. No matter what type of task it is, do not be afraid to ask for help when things get overwhelming. The Eight of Pentacles refers to the efforts that you undertake. There is a possibility that there will be a lot of things that you need to address. Hard work is essential, but you still need to find a balance.

When it comes to work, those who are seeking employment should expect that the nature of their job will be demanding. The Eight of Pentacles also indicates that you need to be confident in yourself that you will be able to fulfill the job. For those who are currently employed, you will be responsible for carrying out more tasks and responsibilities. Never hesitate to ask the assistance of your co-workers. In terms of love, your work may possibly be affecting your relationship. Regardless of how demanding your job is, you need to make some time for your emotional connections with other people.

On the matters of finances, The Eight of Pentacles may signify financial assistance that you have been hoping to receive. Be careful on how you are going to spend this money, remember that this is a fruit of your hard labor and not luck. When it comes to health, the Eight of Pentacles can mean that it is time for you to commit and work hard in order to improve your health - you must stay vigilant about exercise and diet.
-------------------------------------------------",14
Eight of Pentacles (Reversed),"-------------------------------------------------
EIGHT OF PENTACLES (Reversed)

When reversed, the Eight of Pentacles signifies something similar to the upright position, but the tasks may be even more demanding. This means that you need to execute swiftly and with great care if you want to be happy and successful with this outcome. In terms of work, the Eight of Pentacles reversed refers to the importance of impressing your employer through your diligence, dedication and intelligence. Never avoid any task or responsibility in your work - or else this can damage your reputation. In love, the Eight of Pentacles may reveal that both of you may not be prepared to handle the responsibilities to make your relationship work

With regards to finances, you may be delusional about your current financial state. Perhaps you are currently relying on pure luck to make it. While there is absolutely nothing wrong with dreaming, you should understand that you should be patient and be ready to work hard if you want to improve your standing. In relation to health, the Eight of Pentacles reversed may point to a situation that is worrying you, but you have no idea how to fix it. Never be afraid to ask the help of a medical professional to help you understand your condition and improve.
-------------------------------------------------",15
Nine of Pentacles (Upright),"-------------------------------------------------
NINE OF PENTACLES (Upright)

This Nine of Pentacles card indicates that the querent has reached a stage in their lives where they are confident, independent and self-sufficient. Through hard work, this person is now ready to enjoy money, leisure and material comfort.

The difficulties that were faced in the earlier journey of the pentacles appear to be over. The Nine of Pentacles conveys not only joy, but also the feeling of security and freedom that material wealth can bring. Looking back, the querent can now celebrate the difficulties, the struggles, and the hard work that lined her path. Her previous challenges gave her the wider perspective she needs to understand the spiritual value of her success. Knowing how difficult it was to get here, she intends to enjoy every single day that is given to her.

Like the other nines in the tarot, sometimes this card indicates that the querent has not yet reached completion in their journey. There is something that is missing here - the element of her community and relationships. The gifts of the suits are meant to be shared, and yet this woman is so far from home.

The Nine of Pentacles can also be about a specific time period of this person’s life. This time is about restraint and grace. Diplomacy and grace will lead to the desired outcome. 
-------------------------------------------------",16
Nine of Pentacles (Reversed),"-------------------------------------------------
NINE OF PENTACLES (Reversed)

The Nine of Pentacles reversed can be indicative of suffering from financial issues. It can perhaps indicate a false display of security and stability. There may be a desire here to keep up appearances - to have all the finer things in life even when we cannot afford to do so. Where does this stem from? 

Take this as an opportunity for you to figure out what it is most important. The Nine of Pentacles reversed indicates a moment when one truly sees - perhaps for the first time, that we cannot depend completely on material wealth to bring happiness.

Other meanings of this card differ with context - you may instead find yourself at a period in life where you should be able to rest and relax after years of hard work, but you find yourself unable to unwind. In this case, rejuvenation is the ultimate advice of the Nine of Pentacles reversed. You need to take a few steps back and allow yourself to rest and regain your strength.
-------------------------------------------------",17
Ten of Pentacles (Upright),"-------------------------------------------------
TEN OF PENTACLES (Upright)

The Ten of Pentacles deals with permanence and satisfaction. The card shows that everything you have put your efforts into for a long time will pay off in the future. It suggests that everything will work out well in the end - for you have always kept the long term picture in view, choosing to take no shortcuts. Your legacy is sure to stand for quite a long time to come. This is a relief, for the path to get here has been filled with setbacks and challenges, making this point of the journey even sweeter.

In the card, the aged man is able to sit back and relax while watching the lives of his children and grandchildren. The satisfaction he derives from his achievement is interwoven in his children’s happiness. The meaning of the Ten of Pentacles also relates to the happiness that you experience because you have planted many seeds of happiness and shared in the lives of others, particularly family members and relatives. It points to the importance of these people in your lives.

The Ten of Pentacles symbolism is rooted in both financial success and stability. It shows affluence and lack of financial struggle. It also implores you to make decisions that will not only have positive results in the present but also in the long term. The decisions that you make should produce positive results that last for generations to come, trickling down to your offspring as well.
-------------------------------------------------",18
Ten of Pentacles (Reversed),"-------------------------------------------------
TEN OF PENTACLES (Reversed)

The Ten of Pentacles deals with permanence and satisfaction. The card shows that everything you have put your efforts into for a long time will pay off in the future. It suggests that everything will work out well in the end - for you have always kept the long term picture in view, choosing to take no shortcuts. Your legacy is sure to stand for quite a long time to come. This is a relief, for the path to get here has been filled with setbacks and challenges, making this point of the journey even sweeter.

In the card, the aged man is able to sit back and relax while watching the lives of his children and grandchildren. The satisfaction he derives from his achievement is interwoven in his children’s happiness. The meaning of the Ten of Pentacles also relates to the happiness that you experience because you have planted many seeds of happiness and shared in the lives of others, particularly family members and relatives. It points to the importance of these people in your lives.

The Ten of Pentacles symbolism is rooted in both financial success and stability. It shows affluence and lack of financial struggle. It also implores you to make decisions that will not only have positive results in the present but also in the long term. The decisions that you make should produce positive results that last for generations to come, trickling down to your offspring as well.
-------------------------------------------------",19
Page of Pentacles (Upright),"-------------------------------------------------
PAGE OF PENTACLES (Upright)

When we meet the Page of Pentacles, we see immediately that she is one that is ambitious and focused. She is protected, nourished, provided for by the suit whose name she bears. Guided by it, she is deeply tied to the earth, nature, and all of its gifts. She cherishes the body, for it too is something which is a manifestation of her element. Her diligence, ambition and loyalty drives her to quickly make plans for the future - for it is there where her focus lies.

When you meet her, she may be the bearer of news connected to all earthly and material matters. When you hear her message, be inspired as she is - lay down the foundations to follow your ambitions.

Generally, the Page of pentacles refers to the kind of energy that you need to complete all that is needed for your work. It may point to the determination, focus and the ability to stick with a particular task no matter how boring it may seem. In terms of work, the Page of Pentacles may signify that there are a lot of tasks you are responsible for, but your time to complete them is much too limited. This is not the time to feel stressed and overwhelmed. Assistance will be there for you, you just have to ask for it. 

In relation to finances, the Page of Pentacles can refer to the reward for your hard work. For those who are investing their hard–earned money, this is not the perfect time for you to take the risk. Invest your money in a safe and traditional way - the diligence will pay you back. If you are currently experiencing a health issue, this problem may be the result of the continuous neglect. Let a professional make sure that this is not the case.
-------------------------------------------------",20
Page of Pentacles (Reversed),"-------------------------------------------------
PAGE OF PENTACLES (Reversed)

When the Page of Pentacles card appears reversed, it may point to your lack of focus. There is a possibility that you are being distracted with lots of things. Try to borrow the talents of this page and focus your mind before moving on the next thing.

It may also indicate that you need to give yourself a break to refresh your mind. With regards to work, the Page of Pentacles reversed may signify that you are currently feeling overwhelmed due to the heavy demands in your workplace. Remember that it is always better to ask for assistance and complete the work rather than to try to finish it all by yourself and end up failing to do so. In terms of love, you are probably in a solid and steady romantic relationship, but perhaps someone else has caught your interest lately.

When it comes to your finances, the Page of Pentacles reversed may refer to that urge to play and gamble. Be sure to stay responsible and be in control of your actions. In terms of health, do your best to stay away from dangerous activities.
-------------------------------------------------",21
Knight of Pentacles (Upright),"-------------------------------------------------
KNIGHT OF PENTACLES (Upright)

The Knight of Pentacles is about the daily tasks and the responsibility that one has to gain through a specific project. This knight has the patience to accomplish all his given duties and is considered by others reliable and committed to his work. To see this card is an indication that there is a need to be trustworthy and reliable.

You are fully committed to your assignments and you make sure that you complete your work efficiently. You are absolutely loyal and do the best you can in order to make sure the job will be properly completed. Though your sense of duty is admirable, beware that it does not turn into perfectionism - which can manifest itself in every aspect of your life.

The Knight of Pentacles can also represent routine, or the kind of general hard work that you go through everyday. The meaning of the Knight of Pentacles also advises that the querent should continue to do exactly what he is doing. Sticking with the tried and true methods, he will accomplish everything he has set out to do. Sometimes, going with what has already done is not necessarily bad.
-------------------------------------------------",22
Knight of Pentacles (Reversed),"-------------------------------------------------
KNIGHT OF PENTACLES (Reversed)

When the reversed Knight of Pentacles shows up in a reading, the traits that were once positive in the upright position are now taken to the extreme. You may feel stuck in your own routine, and bored of everything that surrounds you. You may desire a change of scenery in order to avoid this tiring repetition. The Knight of Pentacles reversed could also indicate that you have totally ignored many serious aspects of your life. Financial or personal issues are often be neglected in favor of work matters when this card appears reversed.

You may be a driven and ambitious person who struggles to carry the weight of your responsibilities - so much so that you sacrifice your social life. Perhaps you can try taking more risks, or spend more time with friends and loved ones. The Knight of Pentacles reversed is a strong indication that you need to change this way of living, lest you risk burnout and exhaustion.
-------------------------------------------------",23
Queen of Pentacles (Upright),"-------------------------------------------------
QUEEN OF PENTACLES (Upright)

The Queen of Pentacles represents both a down-to-earth woman who plays many roles to ensure that she keeps her family happy. She knows how and when to show love - keeping an orderly home, cooking comforting meals and takes care of the children. But do not mistake her for being only a homebody - alongside all these motherly attributes, she can plan business ventures and execute her plans successfully. It is through her naturally talented business sense that she is surrounded by such luxury. She is quiet and does not like disclosing her financial accounts, fearing that it could bring more complexity to her life, which she desires to keep rather simple. She may have a secret bank account that nobody knows about - for she may choose to be careful, vigilant and self-sufficient.

The Queen of Pentacles therefore represents a motherly figure who desires to help you maneuver your way and achieve your goals with a the helping of her common sense. She will not only show you love, but she will also show you the way forward whenever you seem to be stranded and confused. With her advice, she will ensure that you do not make dangerous financial decisions. She offers you precautions, principles and support, all lessons that she has learned in her personal life. Because she is a self-made woman, she wants too for you to be independent and wise, such that you are also able to raise others and make them responsible.
-------------------------------------------------",24
Queen of Pentacles (Reversed),"
-------------------------------------------------
QUEEN OF PENTACLES (Reversed)

When the Queen of Pentacles becomes disconnected with the energy of her suit, she can become someone who is completely self-absorbed. Gone is the upright generosity in her suit, she can be selfish and even envious when others successes seem greater than hers. Upright, her home is usually a sanctuary for her guests, but reversed it may instead be slovenly - she loses the ability to take care of herself and her surroundings. Her focus on the material may manifest negatively, making her greedy, and yet lacking in her sense of duty and capability. How can she ground herself again, how can she re-enter the sacred relationship she naturally feels with the earth and all its living creatures?

The Queen of Pentacles reversed may also indicate that you have misplaced priorities, which may eventually be compromising to your future. You may find yourself distracted and unable to focus on your work and your long-term goals. You could also be busy working on projects without taking time to consult experienced people who can guide you away from mistakes. 

This card could also suggest those that you care for are now ready to become accountable and responsible for their own lives. You must learn to let go and given them their independence - the role of caregiver is most rewarding when your loved ones have grown strong enough to make their own decisions.
-------------------------------------------------",25
King of Pentacles (Upright),"-------------------------------------------------
KING OF PENTACLES (Upright)

When we meet the King of Pentacles, we feel immediately his regal and generous presence. He is a provider and a protector, for under his care is a flourishing and abundant kingdom where its citizens are prosperous and encouraged to grow. He is naturally responsible and reliable, and through the wisdom granted to him by his suit, he has grown all that he has acquired from practically nothing. To see him in the cards is to envision success - one that was won by earnest work.

Generally, this card reminds us to stay in control of our energy and our resources in pursuit of a larger goal. When it comes to work, the King of Pentacles may refer to a more established man who will pay a significant role in your career. This man can be wise and rational, but he may also be careless when passing judgment. He can be your biggest supporter, but be prepared to receive unsolicited and harsh criticism. In love, this can indicate that the person that you’ve been waiting for can come along and will love you for who you are.

With regards to finances, the King of Pentacles is one of the best cards to receive. This may mean that your financial situation is stable as a result of your wise investments and hard work. In case you are taking a gamble, be sure to initiate a calculated action.
-------------------------------------------------",26
King of Pentacles (Reversed),"-------------------------------------------------
KING OF PENTACLES (Reversed)

When reversed, the King of Pentacles falls from his throne. Once the king of a prosperous kingdom, it has been taken away from him, or lost. Disconnected from the energy of his suit, he may have been impatient, he may have been too indulgent, he may have gambled too far and overstretched himself, he may have sought shortcuts that led him to ruin. He may become too focused on the material, only understanding the cost of things, and never their value.

The King of Pentacles reversed may also signify that your definition of success and happiness is only determined by outer appearances, and not by the true value that security and stability can bring to you. It is a time for you to cultivate an more wholistic attitude to the material world to find an authentic happiness. In terms of love, this card can mean that someone dear to you is currently facing issues due to matters concerning his or her career.

When it comes to finances, the King of Pentacles reversed is telling you to look at the long-term goal. You may be facing financial issues but do not look at yourself as a failure. Stay positive and understand that this is just a phase in your life. When given the chance again, do not make choices based only on the short-term picture. 

The King of Pentacles' appearance in a reading can indicate some sort of material loss or loss in reputation - beware that you do not replicate his mistakes.
-------------------------------------------------",27
